raw,normalized,id,needs_review
ACESSORIES,ACCESSORIES,AC,no
Adaptor,ADAPTORS,AD,no
AIM POINTS,AIM POINTS & LASERS,AL,no
AIM POINTS & LASERS,AIM POINTS & LASERS,AL,no
Aim Points & Lasers,AIM POINTS & LASERS,AL,no
AIRGUNS,AIRGUNS,AG,no
BINOCULARS,BINOCULARS,BI,no
Chronograph,CHRONOGRAPHS,CH,no
FILL COMPRESSOR,COMPRESSORS,CO,no
FILL PROBE,PCP FILL,PF,no
Gift Card,GIFT CARD,GC,no
GIFT CARD,GIFT CARD,GC,no
Laser,AIM POINTS & LASERS,AL,no
Magazines,MAGAZINES,MG,no
MAGAZINES,MAGAZINES,MG,no
Monturas,MOUNTS,MT,no
MOUNTS,MOUNTS,MT,no
Rings/Mounts,MOUNTS,MT,no
Optics,OPTICS,OP,no
OTHERS,OTHERS,OT,no
PCP FILL,PCP FILL,PF,no
Pellets,AMMO,AM,no
PELLETS,AMMO,AM,no
RAILS,RAILS,RA,no
Rangefinder,RANGEFINDERS,RF,no
RANGEFINDERS,RANGEFINDERS,RF,no
Rangefinders,RANGEFINDERS,RF,no
SCOPE COVER,OPTICS ACCESSORIES,OA,no
Scopes,OPTICS,OP,no
SCOPES,OPTICS,OP,no
SCOPES ACC,OPTICS ACCESSORIES,OA,no
Spare Parts,SPARE PARTS,SP,no
Slugs,AMMO,AM,no
SLUGS,AMMO,AM,no
SUPPRESSORS,SUPPRESSORS,SS,no
SUPRESSORS,SUPPRESSORS,SS,no
Suppressors,SUPPRESSORS,SS,no
TOOLS,TOOLS,TO,no
Bags,BAGS,BG,no
Binoculars,BINOCULARS,BI,no
Bottles,BOTTLES,BT,no
Cases,CASES,CA,no
Chronographs,CHRONOGRAPHS,CH,no
Compressors,COMPRESSORS,CO,no
Conversion Kit,KITCONVERT,CK,no
Handpumps,HANDPUMP,HP,no
O-rings,O-RINGS,OR,no
PCP Fill,PCP FILL,PF,no
Scopes Accessories,OPTICS ACCESSORIES,OA,no
Stocks/Grips,STOCKS/GRIPS,SG,no
,,,yes
BACKPACKS,BAGS,BG,yes
BIPODS,SUPPORTS,SU,yes
CLOTHING,MERCHANDISE,ME,yes
Coupler,ADAPTORS,AD,yes
FITTING,PCP FILL,PF,yes
Grasa de silicona,ACCESSORIES,AC,yes
HOSE,PCP FILL,PF,yes
LEAD WIRE,SLUG MOLD,SM,yes
PELLET PRESS,SLUG MOLD,SM,yes
PRESSLUG FORM,SLUG MOLD,SM,yes
SCANDINAVIAN ARMS,PCP FILL,PF,yes
STICKERS,MERCHANDISE,ME,yes
Wheel,OPTICS ACCESSORIES,OA,yes
Zoom circle,OPTICS ACCESSORIES,OA,yes
T-SHIRTS,MERCHANDISE,ME,yes
Tripods,SUPPORTS,SU,yes
Bipods,SUPPORTS,SU,yes
PRESSLUG CUT,SLUG MOLD,SM,yes
BUTTPAD,STOCKS/GRIPS,SG,yes
CHEEKPIECE,STOCKS/GRIPS,SG,yes
Handguards,ACCESSORIES,AC,yes
MAINTENANCE KIT,KITS,KT,yes
Rails,RAILS,RA,no
BOTTLES,BOTTLES,BT,no
Gauges,GAUGES,GG,no
Tools,TOOLS,TO,no
SPARE PARTS,SPARE PARTS,SP,no
Other Shooting Accessories,ACCESSORIES,AC,no
BARRELS,BARRELS,BA,no
Adapters,ADAPTORS,AD,no
VALVE,SPARE PARTS,SP,yes
Buttpads,ACCESSORIES,AC,yes
Shooting Bags & Platforms,SUPPORTS,SU,yes
Adapter,ADAPTORS,AD,no
STOCKS,STOCKS,ST,no
GAUGES,GAUGES,GG,no
KITCONVERT,KITCONVERT,CK,no
ACCESSORIES,ACCESSORIES,AC,no
REGULATORS,REGULATORS,RG,no
TSHIRT,MERCHANDISE,ME,no
HANDPUMP,HANDPUMP,HP,no
ORINGS,O-RINGS,OR,no
GRIPS,GRIPS,GR,no
ADAPTOR,ADAPTORS,AD,no
CASES,CASES,CA,no
PLENUMS,PLENUMS,PL,no
KIT llaves,TOOLS,TO,yes
PROMO,OTHERS,OT,yes
SIDEPLATES,SPARE PARTS,SP,yes
PIN,TOOLS,TO,yes
RINGS,MOUNTS,MT,yes
AD,ADAPTORS,AD,yes
BUBBLE LEVEL,OPTICS ACCESSORIES,OA,yes
SHROUDS,SPARE PARTS,SP,yes
